design,format,brand,plating,shape,size,stones_per_unit,colourways_seen,agree,families_seen
0103,001,U,G,oval 2h,20,1.0,2,yes,C01-8102
0107,001,H,G,heart,1414,1.0,1,yes,BDC-3130
0107,001,H,G,octagon 2h,14,2.0,1,yes,BDC-8232
0108,001,H,C,heart,1414,1.0,1,yes,BDC-3130
0108,001,H,C,octagon 2h,14,2.0,1,yes,BDC-8232
0109,001,D,C,octagon 2h,14,4.0,1,yes,BDC-8232
0109,001,D,G,octagon 2h,14,4.0,1,yes,BDC-8232
0110,001,D,C,octagon 2h,14,4.0,1,yes,BDC-8232
0110,001,D,G,octagon 2h,14,4.0,2,yes,BDC-8232
0112,001,D,C,octagon 2h,14,4.0,1,yes,BDC-8232
0118,001,D,C,chaton,26,2.0,1,yes,C01-1028
0118,001,D,C,octagon 2h,14,4.0,1,yes,BDC-8232
0119,001,M,C,#8015 1h,20,1.0,2,yes,C01-8015
0119,001,M,C,octagon 2h,14,2.0,2,yes,BDC-8232
0121,001,D,G,chaton,26,12.0,2,yes,C01-1028
0121,001,D,G,octagon 2h,18,1.0,2,yes,BDC-8232
0122,001,M,C,octagon 2h,14,3.0,2,yes,BDC-8232
0122,001,M,C,oval 2h,20,1.0,2,yes,C01-8102
0124,001,D,C,chaton,18,4.0,1,yes,C01-1028
0124,001,D,C,chaton,26,4.0,1,yes,C01-1028
0124,001,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0125,001,D,C,chaton,26,8.0,1,yes,C01-1028
0125,001,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0135,001,D,C,chaton,32,2.0,2,yes,C01-1028
0135,001,D,C,octagon 2h,14,3.0,2,yes,BDC-8232 | BDC-8249
0135,001,D,G,chaton,32,2.0,2,yes,C01-1028
0135,001,D,G,octagon 2h,14,3.0,2,yes,BDC-8232
0139,001,D,C,octagon 2h,14,4.0,2,yes,BDC-8232
0140,001,D,C,chaton,26,2.0,1,yes,C01-1028
0140,001,D,C,octagon 2h,14,2.0,1,yes,BDC-8232
0141,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0153,001,H,C,heart,1414,1.0,1,yes,BDC-3130
0153,001,H,C,octagon 2h,14,2.0,1,yes,BDC-8232
0167,001,D,G,chaton,26,4.0,4,yes,C01-1028
0167,001,D,G,octagon 2h,14,1.0,4,yes,BDC-8232
0168,001,D,G,chaton,26,1.0,2,yes,C01-1028
0168,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0169,001,D,C,chaton,26,1.0,1,yes,C01-1028
0169,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0169,001,D,G,chaton,26,1.0,1,yes,C01-1028
0169,001,D,G,octagon 2h,14,1.0,1,yes,BDC-8232
0172,001,D,C,octagon 2h,14,1.0,1,yes,BDC-8232
0172,001,D,G,octagon 2h,14,1.0,2,yes,BDC-8232
0173,001,D,C,octagon 2h,14,2.0,3,yes,BDC-8232 | C01-8016
0173,001,D,G,octagon 2h,14,2.0,2,yes,BDC-8232
0174,001,D,C,octagon 2h,14,2.0,2,yes,BDC-8232
0175,001,D,C,octagon 2h,14,2.0,5,yes,BDC-8232
0175,001,D,G,octagon 2h,14,2.0,5,yes,BDC-8232
0191,001,M,G,chaton,26,2.0,2,yes,C01-1028
0191,001,M,G,octagon 2h,14,3.0,2,yes,BDC-8232
0191,001,M,G,oval 2h,20,1.0,2,yes,C01-8102
0196,001,M,C,chaton,26,2.0,1,yes,C01-1028
0196,001,M,C,octagon 2h,14,3.0,1,yes,BDC-8232
0196,001,M,C,oval 2h,20,1.0,1,yes,C01-8102
0196,001,M,G,chaton,26,2.0,1,yes,C01-1028
0196,001,M,G,octagon 2h,14,3.0,1,yes,BDC-8232
0196,001,M,G,oval 2h,20,1.0,1,yes,C01-8102
0208,001,D,C,chaton,18,8.0,6,yes,C01-1028
0208,001,D,C,octagon 2h,14,2.0,6,yes,BDC-8232 | C01-8016
0208,001,D,G,chaton,18,8.0,3,yes,C01-1028
0208,001,D,G,octagon 2h,14,2.0,3,yes,BDC-8232
0209,001,A,G,chaton,26,2.0,1,yes,C01-1028
0209,001,A,G,octagon 2h,14,7.0,1,yes,C01-1080
0209,001,D,C,chaton,26,2.0,5,yes,C01-1028
