design,format,name,status,classification,app_pcs,app_cbm,app_box,sheet_options,sheet_pcs,sheet_cbm,sheet_box,sheet_weight_ctn,sheet_carton_dims
0229,231,Mini Heart (Love) - Zinc alloy Mobile Freestand with Black Pad Print,stock,not in sheet,48,0.025,10.1  x 4 x 12.1 cm,0,,,,,
0229,232,Mini Heart (Love) - Zinc alloy Mini Oval Base with Round Plaque,stock,not in sheet,48,0.016,6.8 x 4.4 x 9.1 cm,0,,,,,
0230,001,Mini Heart (Birthstone),stock,reference upgrade,96,0.0165,PB001,1,96,0.0165,P-PB001ROS-02-01,3.5,32.6 x 28.5 x 17.8 CM
0232,001,,active,app blank + multi-option,,,,2,48 | 48,0.0247 | 0.0494,P-PB002ROS-02-01 | P-PB035-02-01,3 | 4.2,33 x 32.5 x 23 CM | 
0235,001,Sunflower(Lrg) - B,stock,identical,48,0.0663,P-PB005ROS-02-01,1,48,0.0663,P-PB005ROS-02-01,5.3,43.5 x  33.5 x 45.5 CM
0240,224,Crystal Sunflower Freestand  with Crystal Base,active,VALUE CHANGE,36,,,1,36,0.0503,P-PB005ROS-02-01,,43.5 x 33.5 x  34.5 CM
0241,001,Holy Cross,stock,identical,96,0.0337,P-PB007ROS-02-01,1,96,0.0337,P-PB007ROS-02-01,4.8,37.5 x 29.5 x 30.5CM
0242,001,Pocket - Mitten,stock,identical + multi-option,90,0.0349,P-GB001A00-06-06,2,90 | 96,0.0349 | 0.0165,P-GB001A00-06-06 | P-PB001ROS-02-01,4.7 | 3.5, | 32.6 x 28.5 x 17.8 CM
0246,001,Graceful Angel(Heart),active,identical,36,0.0254,P-PB006ROS-02-01,1,36,0.0254,P-PB006ROS-02-01,2.9,28.2 x 27.3 x 33 CM
0251,001,Holy Cross with Bible,stock,identical,36,0.0254,P-PB006ROS-02-01,1,36,0.0254,P-PB006ROS-02-01,3.12,28.2 x 27.3 x 33 CM
0253,001,Bull,stock,identical,96,0.0337,P-PB007ROS-02-01,1,96,0.0337,P-PB007ROS-02-01,,37.5 x 29.5 x 30.5CM
0256,001,Vintage Piano Freestand,active,identical + multi-option,36,0.0254,P-PB006ROS-02-01,2,12 | 36,0.048 | 0.0254,P-GB028M02 | P-PB006ROS-02-01, | 3.7, | 28.2 x 27.3 x 33 CM
0257,001,Zodiac Aries Freestand,active,identical + multi-option,60,0.0417,P-GB004A01-01-06,4,24 | 48 | 48 | 60,0.05 | 0.0247 | 0.035 | 0.0417,P-PB032ROS-02-01 | P-PB002ROS-02-01 | P-PB048M01 | P-GB004A01-01-06, | 4.8 |  | 8.1, | 33 x 32.5 x 23 CM |  | 
0258,001,Zodiac Taurus Freestand,active,identical + multi-option,60,0.0417,P-GB004A01-01-06,4,24 | 48 | 48 | 60,0.05 | 0.0247 | 0.035 | 0.0417,P-PB032ROS-02-01 | P-PB002ROS-02-01 | P-PB048M01 | P-GB004A01-01-06, | 4.8 | 6.4 | 8.2, | 33 x 32.5 x 23 CM |  | 
0259,001,Zodiac Gemini Freestand,active,identical + multi-option,60,0.0417,P-GB004A01-01-06,4,24 | 48 | 48 | 60,0.05 | 0.0247 | 0.035 | 0.0417,P-PB032ROS-02-01 | P-PB002ROS-02-01 | P-PB048M01 | P-GB004A01-01-06, | 5 | 6.6 | 8.4, | 33 x 32.5 x 23 CM |  | 
0260,001,Zodiac Cancer Freestand,active,identical + multi-option,60,0.0417,P-GB004A01-01-06,4,24 | 48 | 48 | 60,0.05 | 0.0247 | 0.035 | 0.0417,P-PB032ROS-02-01 | P-PB002ROS-02-01 | P-PB048M01 | P-GB004A01-01-06, | 4.8 | 6.4 | 8.3, | 33 x 32.5 x 23 CM |  | 
0261,001,Zodiac Leo Freestand,active,identical + multi-option,60,0.0417,P-GB004A01-01-06,4,24 | 48 | 48 | 60,0.05 | 0.0247 | 0.035 | 0.0417,P-PB032ROS-02-01 | P-PB002ROS-02-01 | P-PB048M01 | P-GB004A01-01-06, | 5 | 6.5 | 8.3, | 33 x 32.5 x 23 CM |  | 
0262,001,Zodiac Virgo Freestand,active,identical + multi-option,60,0.0417,P-GB004A01-01-06,4,24 | 48 | 48 | 60,0.05 | 0.0247 | 0.035 | 0.0417,P-PB032ROS-02-01 | P-PB002ROS-02-01 | P-PB048M01 | P-GB004A01-01-06, | 4.8 |  | 8.3, | 33 x 32.5 x 23 CM |  | 
0263,001,Zodiac Libra Freestand,active,identical + multi-option,60,0.0417,P-GB004A01-01-06,4,24 | 48 | 48 | 60,0.05 | 0.0247 | 0.035 | 0.0417,P-PB032ROS-02-01 | P-PB002ROS-02-01 | P-PB048M01 | P-GB004A01-01-06, | 4.6 | 6.2 | 7.9, | 33 x 32.5 x 23 CM |  | 
